Processing d=590mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 257.232, H: 1723 (int) 0
Processing d=580mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 265.751, H: 1795 (int) 0
Processing d=570mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 274.96, H: 1851 (int) 0
Processing d=560mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 275.861, H: 1875 (int) 0
Processing d=550mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 288.719, H: 1966 (int) 0
Processing d=540mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 306.345, H: 2093 (int) 0
Processing d=530mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 325.476, H: 2185 (int) 0
Processing d=520mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 346.04, H: 2289 (int) 0
Processing d=510mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 357.402, H: 2401 (int) 0
Processing d=500mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 369.912, H: 2465 (int) 0
Processing d=490mm, r=0mm
RAT: Libraries loaded. Processing analysis/gqe.C... Got 100000 events. W: 382.65, H: 2554 (int) 0
Processing d=480mm, r=0mm
