5,[0, 1],[512, 479],991
10,[1, 0],[706, 280],986
15,[1, 0],[807, 175],982
20,[1, 0],[895, 92],987
25,[1, 0],[922, 61],983
30,[1, 0],[953, 28],981
35,[1, 0],[958, 22],980
40,[1, 0],[973, 15],988
45,[1, 0],[977, 4],981
50,[1, 0],[979, 8],987
55,[1, 0],[984, 4],988
60,[1, 0],[981, 5],986
65,[1, 0],[981, 5],986
70,[1, 0],[981, 5],986
75,[1, 0],[981, 5],986
80,[1, 0],[986, 5],991
85,[1, 0],[986, 5],991
5	[0, 1]	[512, 479]	991
10	[1, 0]	[706, 280]	986
15	[1, 0]	[807, 175]	982
20	[1, 0]	[895, 92]	987
25	[1, 0]	[922, 61]	983
30	[1, 0]	[953, 28]	981
35	[1, 0]	[958, 22]	980
40	[1, 0]	[973, 15]	988
45	[1, 0]	[977, 4]	981
50	[1, 0]	[979, 8]	987
55	[1, 0]	[984, 4]	988
60	[1, 0]	[981, 5]	986
65	[1, 0]	[981, 5]	986
70	[1, 0]	[981, 5]	986
75	[1, 0]	[981, 5]	986
80	[1, 0]	[986, 5]	991
85	[1, 0]	[986, 5]	991
150	[]	[]	0
300	[]	[]	0
450	[]	[]	0
600	[]	[]	0
750	[]	[]	0
900	[]	[]	0
1050	[]	[]	0
1200	[]	[]	0
1350	[]	[]	0
1500	[]	[]	0
150	[]	[]	0
300	[]	[]	0
150	[]	[]	0
300	[]	[]	0
